African	Africans
barbecue	barbecuing,barbecued,barbecues
barber	barbers
bare	bares,barer,barely,baring,bared,barest
bargain	bargained,bargaining,bargains
bark	barks,barking,barked
barn	barns
barrier	barriers
base	based,basest,baser,bases,basing
baseball	baseballs
basement	basements
basic	basically
basin	basins
basket	baskets
basketball	basketballs
bat	bats,batted,batting
bath	bathing,bathed,baths
bathe	bathing,bathed,bathes
bathrobe	bathrobes
bathroom	bathrooms
bathtub	bathtubs
battery	batteries
battle	battled,battles,battling
battleground	battlegrounds
bay	bayed,bays,baying
beach	beached,beaches,beaching
beam	beaming,beamed,beams
bean	beans
bear	bearing,bears,born,bore,borne
beard	bearded,beards,bearding
beast	beasts
beat	beats,beating,beaten
beautiful	beautifully
beauty	beauties
become	becomes,becoming,became
bed	beds,bedding,bedded
bedroom	bedrooms
bee	bees
beef	beefs,beefing,beefed
beer	beers
beg	begged,begging,begs
begin	begins,began,beginning,begun
beginning	beginnings
behave	behaving,behaves,behaved
behaviour	behaviours
behind	behinds
belief	beliefs
believe	believed,believing,believes
bell	belling,bells,belled
belly	bellying,bellies,bellied
belong	belonged,belongs,belonging
belt	belting,belted,belts
bench	benches
bend	bent,bended,bends,bending
beneficial	beneficially
benefit	benefiting,benefited,benefits
bent	bents
best	bests,besting,bested
betray	betrayed,betraying,betrays
better	bettered,bettering,betters
bicycle	bicycles,bicycled,bicycling
bid	bidden,bids,bade,bidding
big	biggest,bigger
bike	bikes,biked,biking
bill	billed,billing,bills
biography	biographies
bird	birds
birdcage	birdcages
birth	births
birthday	birthdays
birthplace	birthplaces
biscuit	biscuits
bit	bits
bite	bitten,biting,bites,bit
bitter	bitters,bitterly
black	blacked,blacks,blackest,blacker,blacking
blackboard	blackboards
blame	blames,blamed,blaming
blank	blankly,blanks
blanket	blanketing,blanketed,blankets
bleat	bleated,bleating,bleats
bleed	bleeding,bled,bleeds
bless	blesses,blessing,blessed,blest
blind	blinds,blinding,blinded,blindly
block	blocks,blocking,blocked
blood	blooding,blooded,bloods
blouse	blouses
blow	blew,blowing,blown,blowed,blows
blue	bluing,blued,bluest,blues,bluer
board	boarding,boarded,boards
boat	boats,boating,boated
boating	boats,boated,boat
body	bodies
boil	boils,boiling,boiled
bomb	bombed,bombs,bombing
bond	bonding,bonds,bonded
bone	bones,boning,boned
bonus	bonuses
book	booked,books,booking
bookcase	bookcases
bookmark	bookmarks
bookshelf	bookshelves
bookshop	bookshops
boom	boomed,booming,booms
boot	booted,boots,booting
booth	booths
border	borders,bordered,bordering
bored	boring,bore,bores
boring	bore,bored,bores
born	bearing,bears,bear,bore,borne
borrow	borrowed,borrowing,borrows
boss	bosses,bossing,bossed
bother	bothers,bothering,bothered
bottle	bottling,bottled,bottles
bottom	bottoms,bottomed,bottoming
bounce	bouncing,bounced,bounces
bound	bounding,bounded,bounds
boundary	boundaries
bow	bowed,bows,bowing
bowl	bowled,bowls,bowling
bowling	bowl,bowled,bowls
box	boxes,boxing,boxed
boxing	box,boxes,boxed
boy	boys
boycott	boycotted,boycotts,boycotting
brain	brained,brains,braining
brake	braked,braking,brakes
branch	branching,branched,branches
brand	brands,branding,branded
brave	braved,bravely,braver,braves,braving,bravest
break	broken,breaks,breaking,broke
breakfast	breakfasts,breakfasting,breakfasted
breakthrough	breakthroughs
breast	breasted,breasting,breasts
breath	breathed,breathing,breathes,breaths
breathe	breathed,breathing,breathes
breathless	breathlessly
brewery	breweries
brick	bricks,bricking,bricked
bride	brides
bridegroom	bridegrooms
bridge	bridging,bridged,bridges
brief	briefly,briefs,briefer,briefest,briefed,briefing
bright	brighter,brightest,brightly
brightly	brighter,bright,brightest
bring	brought,bringing,brings
broad	broadest,broader,broadly,broads
broadcast	broadcasts,broadcasting,broadcasted
brochure	brochures
broke	break,broken,breaks,breaking
broken	brokenly
broom	brooms
brother	brothers
brotherhood	brotherhoods
brown	brownest,browning,browner,browned,browns
brunch	brunches
brush	brushing,brushes,brushed
bucket	buckets,bucketed,bucketing
budget	budgeted,budgeting,budgets
buffet	buffeting,buffeted,buffets
build	building,builds,built
building	buildings
bunch	bunched,bunches,bunching
bungalow	bungalows
burden	burdening,burdened,burdens
bureaucratic	bureaucratically
burglar	burglars
burial	burials
burn	burns,burnt,burned,burning
burst	bursts,bursting
bury	buries,buried,burying
bus	bused,busing,bussing,buses
bush	bushes
business	businesses
businessman	businessmen
busy	busied,busily,busiest,busying,busier,busies
butcher	butchers,butchering,butchered
butter	buttered,buttering,butters
butterfly	butterflies
button	buttons,buttoning,buttoned
buy	bought,buying,buys
bye	byes
cab	cabs
cabbage	cabbages
cafe	cafes
cafeteria	cafeterias
cage	caged,cages,caging
cake	cakes,caking,caked
calculate	calculated,calculating,calculates
call	called,calls,calling
calm	calmest,calming,calmly,calms,calmer,calmed
camel	camels
camera	cameras
camp	camped,camping,camps
campaign	campaigns,campaigning,campaigned
can	canned,canning,cans
canal	canals
cancel	cancelled,cancelling,cancels
cancer	cancers
candidate	candidates
candle	candles
candy	candies,candying,candied
canoe	canoes,canoed,canoeing
canteen	canteens
cap	capping,capped,caps
capital	capitals
capsule	capsules
captain	captaining,captained,captains
caption	captions
car	cars
carbon	carbons
card	cards,carding,carded
care	caring,cared,cares
careful	carefully
carefully	careful
careless	carelessly
carpenter	carpenters
carpet	carpeting,carpeted,carpets
carriage	carriages
carrier	carriers
carrot	carrots
carry	carries,carrying,carried
cartoon	cartooning,cartooned,cartoons
carve	carves,carved,carving
case	cases,casing,cased
cash	cashed,cashing,cashes
cassette	cassettes
cast	casting,casts
castle	castles,castling,castled
casual	casually
cat	cats
catalogue	catalogues,cataloguing,catalogued
catastrophe	catastrophes
catch	catches,catching,caught
category	categories
cater	catered,caters,catering
cathedral	cathedrals
cause	caused,causing,causes
caution	cautioned,cautions,cautioning
cautious	cautiously
cave	caving,caved,caves
ceiling	ceilings
celebrate	celebrating,celebrated,celebrates
celebration	celebrations
cell	cells
cent	cents
centimetre	centimetres
central	centrals,centrally
centre	centred,centres,centring
century	centuries
certain	certainly
certainly	certain
certificate	certificates,certificating,certificated
chain	chains,chaining,chained
chair	chairs,chairing,chaired
chairman	chairmen
chalk	chalks,chalking,chalked
challenge	challenges,challenging,challenged
challenging	challenges,challenge,challenged
champion	championing,championed,champions
chance	chances,chancing,chanced
change	changing,changed,changes
channel	channels,channelling,channelled
chant	chanted,chanting,chants
chapter	chapters
character	characters
characteristic	characteristics,characteristically
charge	charges,charging,charged
chart	charting,charted,charts
chat	chats,chatted,chatting
cheap	cheaper,cheaply,cheapest
cheat	cheats,cheating,cheated
check	checking,checked,checks
cheek	cheeking,cheeked,cheeks
cheer	cheers,cheering,cheered
cheerful	cheerfully
cheers	cheering,cheer,cheered
cheese	cheeses
chef	chefs
chemical	chemicals,chemically
chemist	chemists
cheque	cheques
chest	chests
chew	chewing,chewed,chews
chick	chicks
chicken	chickens
chief	chiefs,chiefly
child	children
children	child
chimney	chimneys
chips	chip,chipped,chipping
chocolate	chocolates
choice	choices
choir	choirs
choke	choked,chokes,choking
choose	chosen,chose,choosing,chooses
chorus	chorused,chorusing,choruses
church	churches
cigar	cigars
cigarette	cigarettes
cinema	cinemas
circle	circles,circling,circled
circuit	circuits
circulate	circulating,circulates,circulated
circumstance	circumstances
circus	circuses
citizen	citizens
city	cities
civil	civilly
civilian	civilians
civilization	civilizations
clap	claps,clapping,clapped
clarify	clarifying,clarified,clarifies
class	classing,classes,classed
classic	classically,classics
classical	classically
classify	classifying,classified,classifies
classmate	classmates
classroom	classrooms
claw	claws,clawed,clawing
clay	clays
clean	cleaner,cleanly,cleanest,cleans,cleaning,cleaned
cleaner	cleaners
clear	clearing,clearer,clearly,clears,cleared,clearest
clearly	clearing,clear,clearer,clears,cleared,clearest
clerk	clerks,clerking,clerked
clever	cleverly,cleverest,cleverer
click	clicking,clicked,clicks
climate	climates
climb	climbs,climbing,climbed
clinic	clinics
clock	clocked,clocks,clocking
clone	clones,cloning,cloned
close	closer,closes,closely,closest,closed,closing
closed	closer,closes,closely,closest,close,closing
cloth	cloths
clothes	clothed,clad,clothe,clothing
clothing	clothed,clad,clothe,clothes
cloud	clouds,clouding,clouded
cloudy	cloudiest,cloudier
club	clubs,clubbing,clubbed
clumsy	clumsily,clumsiest,clumsier
coach	coaches,coaching,coached
coal	coals,coaled,coaling
coast	coasted,coasts,coasting
coat	coating,coated,coats
cock	cocked,cocks,cocking
code	coded,codes,coding
coffee	coffees
coin	coins,coined,coining
coincidence	coincidences
coke	coking,coked,cokes
cold	coldest,colds,coldly,colder
collar	collared,collaring,collars
colleague	colleagues
collect	collecting,collected,collects
collection	collections
college	colleges
colour	colours,colouring,coloured
comb	combs,combed,combing
combine	combines,combined,combining
come	comes,came,coming
comedy	comedies
comfort	comforting,comforted,comforts
comfortable	comfortably
comma	commas
command	commanded,commands,commanding
comment	commenting,commented,comments
commitment	commitments
committee	committees
common	commonest,commonly,commoner,commons
communicate	communicates,communicated,communicating
communication	communications
communist	communists
companion	companions
company	companies
compare	comparing,compared,compares
compass	compassing,compasses,compassed
compensate	compensating,compensates,compensated
compete	competes,competed,competing
competence	competences
competition	competitions
competitor	competitors
complain	complaining,complained,complains
complete	completing,completely,completed,completes
complex	complexes
component	components
composition	compositions
comprehension	comprehensions
compromise	compromises,compromising,compromised
compulsory	compulsorily
computer	computers
comrade	comrades
conceited	conceitedly
concentrate	concentrated,concentrating,concentrates
concept	concepts
concert	concerted,concerting,concerts
conclude	concluded,concluding,concludes
conclusion	conclusions
condemn	condemned,condemns,condemning
condition	conditions,conditioning,conditioned
conduct	conducting,conducts,conducted
conductor	conductors
conference	conferences
confidence	confidences
confident	confidently
confidential	confidentially
congratulate	congratulates,congratulated,congratulating
congratulation	congratulations
connect	connected,connecting,connects
connection	connections
consequence	consequences
conservative	conservatively,conservatives
consider	considered,considering,considers
considerate	considerately
consideration	considerations
consist	consists,consisting,consisted
consistent	consistently
constant	constantly,constants
constitution	constitutions
construct	constructs,constructing,constructed
construction	constructions
consult	consulted,consults,consulting
consultant	consultants
consume	consumed,consuming,consumes
contain	contained,contains,containing
container	containers
contemporary	contemporaries
content	contenting,contented,contents
continent	continents
continue	continuing,continues,continued
contradict	contradicting,contradicted,contradicts
contrary	contraries,contrarily
contribute	contributing,contributed,contributes
contribution	contributions
control	controlled,controlling,controls
controversial	controversially
convenience	conveniences
convenient	conveniently
conversation	conversations
convey	conveying,conveyed,conveys
convince	convinced,convinces,convincing
cook	cooked,cooks,cooking
cooker	cookers
cookie	cookies
cool	cools,cooler,coolly,cooling,cooled,coolest
copy	copied,copies,copying
coral	corals
corn	corns,corning
corner	cornering,corners,cornered
corporation	corporations
correct	corrected,correcting,correctly,corrects
correction	corrections
correspond	corresponded,corresponding,corresponds
corrupt	corruptly,corrupted,corrupts,corrupting
cost	costed,costs,costing
cosy	cosily,cosies,cosier,cosiest
cottage	cottages
cotton	cottons,cottoned,cottoning
cough	coughing,coughed,coughs
count	counts,counting,counted
counter	countering,countered,counters
country	countries
couple	couples,coupling,coupled
course	coursing,coursed,courses
court	courted,courts,courting
courtyard	courtyards
cousin	cousins
cover	covered,covers,covering
cow	cows,cowing,cowed
cowboy	cowboys
crash	crashed,crashes,crashing
crayon	crayons,crayoned,crayoning
crazy	crazily,craziest,crazier
cream	creamed,creams,creaming
create	creates,creating,created
creature	creatures
credit	crediting,credited,credits
crew	crewing,crews,crewed
crime	criming,crimes,crimed
criminal	criminals,criminally
criterion	criterions,criteria
crop	crops,cropping,cropped
cross	crossing,crossly,crosses,crossed
crossing	crossings
crossroads	crossroad
crow	crows,crowed,crowing
crowd	crowds,crowding,crowded
crowded	crowds,crowding,crowd
cruel	crueller,cruelly,cruellest
cry	cries,crying,cried
cube	cubing,cubed,cubes
culture	cultures,cultured
cup	cupped,cups,cupping
cupboard	cupboards
cure	curing,cured,cures
curious	curiously
currency	currencies
curriculum	curricula,curriculums
curtain	curtained,curtains,curtaining
cushion	cushions,cushioning,cushioned
custom	customs
customer	customers
customs	custom
cut	cutting,cuts
cycle	cycling,cycles,cycled
cyclist	cyclists
dad	dads
daily	dailies
dam	damming,dammed,dams
damage	damaged,damaging,damages
damp	dampest,damply,damped,damping,damper,damps
dance	dances,danced,dancing
danger	dangers
dangerous	dangerously
dare	dares,daring,dared
dark	darkest,darkly,darker
dash	dashed,dashing,dashes
database	databases
date	dates,dating,dated
daughter	daughters
dawn	dawns,dawning,dawned
day	days
daytime	daytimes
dead	deadly
deadline	deadlines
deaf	deafer,deafest
deal	deals,dealing,dealt
dear	dearly,dearest,dears,dearer
death	deaths
debate	debated,debates,debating
debt	debts
decade	decades
decide	deciding,decided,decides
decision	decisions
declare	declares,declaring,declared
decline	declined,declining,declines
decorate	decorated,decorating,decorates
decoration	decorations
deed	deeds
deep	deeps,deeply,deepest,deeper
deeply	deeps,deepest,deep,deeper
defeat	defeats,defeating,defeated
defence	defences
defend	defends,defending,defended
degree	degrees
delay	delays,delaying,delayed
delete	deleted,deleting,deletes
deliberately	deliberated,deliberating,deliberates,deliberate
delicate	delicately
delicious	deliciously
delight	delighting,delighted,delights
delighted	delightedly
deliver	delivered,delivers,delivering
demand	demands,demanding,demanded
dentist	dentists
department	departments
departure	departures
depend	depends,depended,depending
deposit	deposited,depositing,deposits
depth	depths
describe	described,describes,describing
description	descriptions
desert	deserted,deserting,deserts
deserve	deserves,deserved,deserving
design	designs,designed,designing
desire	desired,desires,desiring
desk	desks
desperate	desperately
dessert	desserts
destination	destinations
destroy	destroying,destroys,destroyed
detective	detectives
determination	determinations
determine	determining,determined,determines
develop	developed,develops,developing
development	developments
devote	devoted,devoting,devotes
devotion	devotions
diagram	diagrams
dial	dials,dialling,dialled
dialogue	dialogues
diamond	diamonds
diary	diaries
dictation	dictations
dictionary	dictionaries
die	dying,died,dies
diet	diets,dieting,dieted
differ	differs,differing,differed
difference	differences
different	differently
difficulty	difficulties
dig	dug,digging,digs
digest	digesting,digested,digests
digital	digitally
dignity	dignities
dilemma	dilemmas
dim	dimly,dimming,dimmest,dims,dimmed,dimmer
dine	dining,dined,dines
dining	dine,dined,dines
dinner	dinners
dinosaur	dinosaurs
dioxide	dioxides
dip	dipping,dips,dipped
diploma	diplomas
direct	directed,directing,directly,directs
direction	directions
directly	directed,directing,direct,directs
director	directors
directory	directories
dirty	dirtying,dirtiest,dirtied,dirtily,dirties,dirtier
disability	disabilities
disabled	disable,disabling,disables
disadvantage	disadvantages
disagree	disagreed,disagrees,disagreeing
disagreement	disagreements
disappear	disappears,disappearing,disappeared
disappearance	disappearances
disappoint	disappointing,disappointed,disappoints
disappointed	disappointedly
disappointment	disappointments
disaster	disasters
disc	discs
discount	discounting,discounts,discounted
discourage	discourages,discouraging,discouraged
discover	discovered,discovering,discovers
discovery	discoveries
discuss	discussed,discusses,discussing
discussion	discussions
disease	diseases
disgusting	disgustingly
dish	dished,dishing,dishes
disk	disks
dislike	disliking,disliked,dislikes
dismiss	dismisses,dismissing,dismissed
disobey	disobeying,disobeyed,disobeys
display	displaying,displayed,displays
distance	distanced,distancing,distances
distant	distantly
distinction	distinctions
distinguish	distinguishes,distinguishing,distinguished
distribute	distributing,distributes,distributed
district	districts
disturb	disturbing,disturbed,disturbs
dive	diving,dived,dives,dove
diver	divers
diverse	diversely
divide	divided,divides,dividing
division	divisions
divorce	divorces,divorced,divorcing
dizzy	dizzying,dizzily,dizzied,dizzier,dizzies,dizziest
do	did,doing,does,done,dos,dost
doctor	doctored,doctoring,doctors
document	documented,documents,documenting
dog	dogged,dogging,dogs
doll	dolling,dolls,dolled
dollar	dollars
dolphin	dolphins
donate	donating,donates,donated
door	doors
doorbell	doorbells
dormitory	dormitories
dot	dots,dotting,dotted
double	doubling,doubly,doubled,doubles
doubt	doubting,doubted,doubts
down	downed,downs,downing
drag	dragging,drags,dragged
draw	drawn,draws,drawing,drew
drawback	drawbacks
drawer	drawers
drawing	drawings
dream	dreamt,dreamed,dreams,dreaming
dress	dressed,dresses,dressing
drier	driers
drill	drills,drilling,drilled
drink	drunk,drank,drinking,drinks
drive	driven,drove,drives,driving
driver	drivers
drop	dropping,dropped,drops
drought	droughts
drown	drowning,drowned,drowns
drug	drugs,drugged,drugging
drum	drumming,drummed,drums
drunk	drunkest,drunks,drunker
dry	dries,drily,drier,driest,drying,dryly,dried
dryer	dryers
duck	ducking,ducks,ducked
duckling	ducklings
due	dues
dull	dulled,dulls,dulling,dullest,duller
dumpling	dumplings
dust	dusted,dusts,dusting
dustbin	dustbins
dusty	dustiest,dustier
duty	duties
dynamic	dynamically,dynamics
dynasty	dynasties
eager	eagerly
eagle	eagles
ear	ears
earlier	early,earliest
early	earlier,earliest
earn	earns,earning,earned
earth	earthed,earths,earthing
earthquake	earthquakes
ease	easing,eased,eases
easily	easier,easy,easiest
easy	easily,easier,easiest
eat	ate,eating,eats,eaten
edge	edging,edges,edged
edition	editions
editor	editors
educate	educating,educated,educates
educator	educators
effect	effected,effecting,effects
effort	efforts
egg	egged,eggs,egging
eggplant	eggplants
eighteenth	eighteenths
elder	elders
elect	elected,elects,electing
electric	electrics,electrically
electrical	electrically
electronic	electronically
elegant	elegantly
elephant	elephants
embarrass	embarrassed,embarrassing,embarrasses
embassy	embassies
emergency	emergencies
emperor	emperors
empire	empires
employ	employed,employing,employs
empty	emptiest,emptied,empties,emptier,emptying
encourage	encourages,encouraging,encouraged
encouragement	encouragements
end	ended,ends,ending
ending	endings
endless	endlessly
enemy	enemies
energetic	energetically
energy	energies
engine	engines
engineer	engineering,engineers,engineered
enjoy	enjoys,enjoying,enjoyed
enjoyable	enjoyably
enlarge	enlarged,enlarging,enlarges
enquiry	enquiries
enter	entered,enters,entering
enterprise	enterprises
entertainment	entertainments
enthusiastic	enthusiastically
entire	entirely
entrance	entrancing,entranced,entrances
entry	entries
envelope	envelopes
environment	environments
envy	envies,envying,envied
equal	equally,equalled,equalling,equals
equip	equipping,equips,equipped
eraser	erasers
error	errors
erupt	erupting,erupted,erupts
escape	escaped,escapes,escaping
especially	especial
essay	essays,essaying,essayed
essential	essentially,essentials
evaluate	evaluates,evaluating,evaluated
eve	eves
even	evened,evens,evening,evenly
evening	evenings
event	events
eventually	eventual
evident	evidently
evolution	evolutions
exact	exacted,exactly,exacts,exacting
exactly	exacted,exact,exacts,exacting
exam	exams
examination	examinations
examine	examining,examined,examines
example	examples
excellent	excellently
except	excepted,excepting,excepts
exchange	exchanging,exchanged,exchanges
excite	excites,exciting,excited
excited	excitedly
exciting	excitingly
excuse	excuses,excusing,excused
exercise	exercises,exercising,exercised
exhibition	exhibitions
exist	existed,exists,existing
existence	existences
exit	exited,exits,exiting
expand	expanding,expanded,expands
expect	expected,expecting,expects
expectation	expectations
expedition	expeditions
expense	expenses
expensive	expensively
experience	experiencing,experienced,experiences
experiment	experiments,experimented,experimenting
expert	experts,expertly
explain	explaining,explained,explains
explanation	explanations
explode	exploded,exploding,explodes
exploit	exploiting,exploited,exploits
explore	exploring,explored,explores
explorer	explorers
expose	exposes,exposing,exposed
express	expressly,expresses,expressing,expressed
expression	expressions
extension	extensions
extra	extras
extraordinary	extraordinarily
extreme	extremes,extremely
extremely	extremes,extreme
eye	eyes,eying,eyed,eyeing
eyewitness	eyewitnesses
face	facing,faced,faces
facial	facials
fact	facts
factory	factories
fade	fades,fading,faded
fail	failed,fails,failing
failure	failures
fair	fairs,fairly,fairer,fairest
fairly	fairs,fairer,fair,fairest
faith	faiths
fall	falling,fallen,fell,falls
false	falsely
familiar	familiarly,familiars
family	families
famous	famously
fan	fans,fanning,fanned
fancy	fancies,fancier,fancying,fanciest,fancied
fantastic	fantastically
fantasy	fantasies
fare	fares,faring,fared
farm	farmed,farms,farming
farmer	farmers
farming	farm,farmed,farms
farmland	farmlands
fast	fasting,faster,fasts,fasted,fastest
fasten	fastening,fastens,fastened
fat	fatter,fats,fatted,fattest
father	fathers,fathered,fathering
fault	faulted,faults,faulting
favour	favoured,favouring,favours
favourite	favourites
fax	faxing,faxed,faxes
fear	fears,fearing,feared
feast	feasted,feasts,feasting
feather	feathering,feathered,feathers
fee	feeing,fees
feed	feeds,feeding,fed
feel	feels,feeling,felt
feeling	feelingly,feelings
fellow	fellows
female	females
fence	fencing,fenced,fences
ferry	ferried,ferrying,ferries
festival	festivals
fetch	fetching,fetches,fetched
fever	fevers
few	fewest,fewer
fibre	fibres
fiction	fictions
field	fielded,fields,fielding
fierce	fiercer,fiercely,fiercest
fight	fought,fights,fighting
fighter	fighters
figure	figuring,figured,figures
file	files,filing,filed
fill	filling,filled,fills
film	films,filming,filmed
final	finally,finals
finance	financed,finances,financing
find	finding,found,finds
fine	finest,fined,finely,fining,fines,finer
finger	fingered,fingering,fingers
fingernail	fingernails
finish	finishing,finished,finishes
fire	fires,firing,fired
fireplace	fireplaces
fireworks	firework
firm	firming,firmest,firmer,firmed,firms,firmly
firmly	firm,firming,firmest,firmer,firmed,firms
first	firsts
fish	fishes,fishing,fished
fisherman	fishermen
fishing	fishes,fish,fished
fist	fists
fit	fitter,fitting,fitted,fits,fittest,fitly
fitting	fittings
fix	fixing,fixed,fixes
flag	flagging,flags,flagged
flame	flamed,flaming,flames
flaming	flamed,flame,flames
flash	flashes,flashing,flashed
flashlight	flashlights
flat	flats,flatter,flatly,flattest
flee	fled,flees,fleeing
flexible	flexibly
flight	flights,flighted,flighting
float	floating,floated,floats
flood	flooded,flooding,floods
floor	floored,floors,flooring
flour	floured,flours,flouring
flow	flowed,flows,flowing
flower	flowering,flowered,flowers
fluent	fluently
fly	flying,flies,flown,flew
fog	fogged,fogging,fogs
